2025-05-28 12:55:40 697721 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.LockFileHandler | CreateAndLockFile: Lock file created and locked successfully     
2025-05-28 12:55:40 699378 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: listeners     
2025-05-28 12:55:40 711244 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.Server | LISTENER : ${"Type":"websocket","Port":"22556","User":"customer","IsSecure":"false","ClientName":null,"Cert":"","CertPassword":""}     
2025-05-28 12:55:40 755387 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.Server | LISTENER : ${"Type":"tcp","Port":"2324","User":"customer","IsSecure":"false","ClientName":null,"Cert":"","CertPassword":""}     
2025-05-28 12:55:40 756017 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.Server | LISTENER : ${"Type":"tcp","Port":"50000","User":"syncqueue","IsSecure":null,"ClientName":null,"Cert":null,"CertPassword":null}     
2025-05-28 12:55:40 756342 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.Server | LISTENER : ${"Type":"tcp","Port":"2334","User":"agent","IsSecure":"false","ClientName":null,"Cert":null,"CertPassword":null}     
2025-05-28 12:55:40 756583 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.Server | LISTENER : ${"Type":"websocket","Port":"11011","User":"monitor","IsSecure":null,"ClientName":null,"Cert":null,"CertPassword":null}     
2025-05-28 12:55:40 757646 |(3d08775eec07)| DEBUG   |[1  ]| TpmsInterconnect.Server | Manager instance is null     
2025-05-28 12:55:40 762944 |(3d08775eec07)| DEBUG   |[1  ]| TpmsInterconnect.TcpServer | Listening Started Successfully     
2025-05-28 12:55:40 763270 |(3d08775eec07)| DEBUG   |[1  ]| TpmsInterconnect.TcpServer | Listening Started Successfully     
2025-05-28 12:55:40 764003 |(3d08775eec07)| INFO    |[13 ]| TpmsInterconnect.TcpServer | Waiting for a client     
2025-05-28 12:55:40 764285 |(3d08775eec07)| INFO    |[14 ]| TpmsInterconnect.TcpServer | Waiting for a client     
2025-05-28 12:55:40 764293 |(3d08775eec07)| DEBUG   |[1  ]| TpmsInterconnect.TcpServer | Listening Started Successfully     
2025-05-28 12:55:40 764805 |(3d08775eec07)| INFO    |[15 ]| TpmsInterconnect.TcpServer | Waiting for a client     
2025-05-28 12:55:40 766371 |(3d08775eec07)| DEBUG   |[1  ]| TpmsInterconnect.Server | New state =false     
2025-05-28 12:55:40 768402 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.Server | Start() : Health check address = http://172.31.73.181:2244/health/TCOMMdev-0A-59-07-AE-2244/688075/     
2025-05-28 12:55:40 769282 |(3d08775eec07)| DEBUG   |[1  ]| TpmsInterconnect.HttpHealthListener | Initialize: URL set to http://+:2244/health/TCOMMdev-0A-59-07-AE-2244/688075/     
2025-05-28 12:55:40 770686 |(3d08775eec07)| INFO    |[1  ]| TpmsInterconnect.HttpHealthListener | Start: Health check listening started successfully - http://+:2244/health/TCOMMdev-0A-59-07-AE-2244/688075/     
2025-05-28 12:55:41 246253 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | Start() : Address list published successfully     
2025-05-28 12:55:41 246369 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | Chat server started successfully     
2025-05-28 12:55:41 576040 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Worker | StartAsync: Service starting     
2025-05-28 12:55:41 577452 |(3d08775eec07)| WARN    |[1  ]| MessageDistributor.MessageDistributor | Third Party Plugin Configurations not properly configured or Service provider is null. due to that disabling plugin service     
2025-05-28 12:55:41 580086 |(3d08775eec07)| WARN    |[1  ]| ExternalMessageDistributor.Services.WebSocketMessagingService | ValidateMMMSettings: MMM setting is not enabled     
2025-05-28 12:55:41 580739 |(3d08775eec07)| DEBUG   |[1  ]| MessageDistributor.MessageDistributor | [MessageDistributor] Message Distributor started     
2025-05-28 12:55:41 580996 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.MessageDistributeInitializer | [MessageDistributeInitializer] Message Distributor started     
2025-05-28 12:55:41 581104 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Worker | StartAsync: Service started successfully     
